'Elapsed time','v4'
'seconds','mV'
0.000,0.106
0.001,0.110
0.002,0.110
0.003,0.112
0.004,0.112
0.005,0.107
0.006,0.106
0.007,0.112
0.008,0.111
0.009,0.108
0.010,0.109
0.011,0.108
0.012,0.109
0.013,0.111
0.014,0.113
0.015,0.110
0.016,0.106
0.017,0.106
0.018,0.108
0.019,0.109
0.020,0.108
0.021,0.109
0.022,0.108
0.023,0.108
0.024,0.107
0.025,0.104
0.026,0.103
0.027,0.104
0.028,0.111
0.029,0.114
0.030,0.113
0.031,0.115
0.032,0.108
0.033,0.105
0.034,0.108
0.035,0.110
0.036,0.111
0.037,0.107
0.038,0.105
0.039,0.107
0.040,0.108
0.041,0.105
0.042,0.113
0.043,0.112
0.044,0.105
0.045,0.103
0.046,0.098
0.047,0.105
0.048,0.110
0.049,0.104
0.050,0.099
0.051,0.101
0.052,0.102
0.053,0.104
0.054,0.104
0.055,0.104
0.056,0.106
0.057,0.105
0.058,0.102
0.059,0.102
0.060,0.106
0.061,0.107
0.062,0.105
0.063,0.100
0.064,0.098
0.065,0.100
0.066,0.099
0.067,0.100
0.068,0.103
0.069,0.102
0.070,0.099
0.071,0.103
0.072,0.113
0.073,0.110
0.074,0.099
0.075,0.102
0.076,0.105
0.077,0.102
0.078,0.101
0.079,0.097
0.080,0.097
0.081,0.102
0.082,0.102
0.083,0.101
0.084,0.101
0.085,0.104
0.086,0.104
0.087,0.109
0.088,0.106
0.089,0.095
0.090,0.101
0.091,0.109
0.092,0.119
0.093,0.116
0.094,0.104
0.095,0.105
0.096,0.107
0.097,0.116
0.098,0.118
0.099,0.114
0.100,0.111
0.101,0.117
0.102,0.122
0.103,0.121
0.104,0.121
0.105,0.116
0.106,0.120
0.107,0.126
0.108,0.129
0.109,0.130
0.110,0.130
0.111,0.135
0.112,0.134
0.113,0.139
0.114,0.137
0.115,0.129
0.116,0.139
0.117,0.147
0.118,0.145
0.119,0.139
0.120,0.135
0.121,0.140
0.122,0.144
0.123,0.149
0.124,0.145
0.125,0.141
0.126,0.148
0.127,0.151
0.128,0.153
0.129,0.152
0.130,0.153
0.131,0.153
0.132,0.154
0.133,0.160
0.134,0.164
0.135,0.169
0.136,0.167
0.137,0.168
0.138,0.172
0.139,0.176
0.140,0.179
0.141,0.176
0.142,0.176
0.143,0.178
0.144,0.181
0.145,0.181
0.146,0.180
0.147,0.183
0.148,0.188
0.149,0.190
0.150,0.196
0.151,0.196
0.152,0.200
0.153,0.205
0.154,0.203
0.155,0.208
0.156,0.212
0.157,0.203
0.158,0.191
0.159,0.191
0.160,0.202
0.161,0.208
0.162,0.205
0.163,0.200
0.164,0.206
0.165,0.213
0.166,0.217
0.167,0.216
0.168,0.209
0.169,0.206
0.170,0.211
0.171,0.219
0.172,0.220
0.173,0.225
0.174,0.230
0.175,0.225
0.176,0.224
0.177,0.228
0.178,0.228
0.179,0.231
0.180,0.233
0.181,0.228
0.182,0.224
0.183,0.226
0.184,0.230
0.185,0.228
0.186,0.225
0.187,0.229
0.188,0.232
0.189,0.236
0.190,0.238
0.191,0.237
0.192,0.236
0.193,0.236
0.194,0.240
0.195,0.240
0.196,0.237
0.197,0.239
0.198,0.240
0.199,0.234
0.200,0.231
0.201,0.234
0.202,0.234
0.203,0.234
0.204,0.235
0.205,0.235
0.206,0.234
0.207,0.234
0.208,0.240
0.209,0.241
0.210,0.236
0.211,0.232
0.212,0.232
0.213,0.234
0.214,0.240
0.215,0.244
0.216,0.236
0.217,0.227
0.218,0.225
0.219,0.230
0.220,0.231
0.221,0.231
0.222,0.226
0.223,0.222
0.224,0.223
0.225,0.221
0.226,0.221
0.227,0.220
0.228,0.220
0.229,0.224
0.230,0.220
0.231,0.217
0.232,0.217
0.233,0.215
0.234,0.217
0.235,0.216
0.236,0.212
0.237,0.213
0.238,0.213
0.239,0.210
0.240,0.208
0.241,0.209
0.242,0.204
0.243,0.203
0.244,0.204
0.245,0.200
0.246,0.205
0.247,0.204
0.248,0.204
0.249,0.205
0.250,0.206
0.251,0.202
0.252,0.194
0.253,0.197
0.254,0.199
0.255,0.197
0.256,0.197
0.257,0.199
0.258,0.194
0.259,0.192
0.260,0.193
0.261,0.191
0.262,0.192
0.263,0.188
0.264,0.184
0.265,0.185
0.266,0.189
0.267,0.184
0.268,0.182
0.269,0.189
0.270,0.184
0.271,0.180
0.272,0.182
0.273,0.180
0.274,0.176
0.275,0.179
0.276,0.179
0.277,0.179
0.278,0.179
0.279,0.179
0.280,0.176
0.281,0.172
0.282,0.172
0.283,0.172
0.284,0.172
0.285,0.174
0.286,0.177
0.287,0.177
0.288,0.175
0.289,0.177
0.290,0.175
0.291,0.174
0.292,0.177
0.293,0.178
0.294,0.178
0.295,0.177
0.296,0.178
0.297,0.177
0.298,0.172
0.299,0.171
0.300,0.172
0.301,0.172
0.302,0.172
0.303,0.173
0.304,0.171
0.305,0.172
0.306,0.177
0.307,0.175
0.308,0.180
0.309,0.179
0.310,0.176
0.311,0.182
0.312,0.181
0.313,0.178
0.314,0.176
0.315,0.174
0.316,0.172
0.317,0.172
0.318,0.173
0.319,0.178
0.320,0.179
0.321,0.176
0.322,0.175
0.323,0.171
0.324,0.169
0.325,0.171
0.326,0.172
0.327,0.174
0.328,0.176
0.329,0.178
0.330,0.179
0.331,0.178
0.332,0.178
0.333,0.180
0.334,0.183
0.335,0.175
0.336,0.178
0.337,0.185
0.338,0.175
0.339,0.178
0.340,0.178
0.341,0.172
0.342,0.174
0.343,0.173
0.344,0.174
0.345,0.178
0.346,0.181
0.347,0.178
0.348,0.178
0.349,0.181
0.350,0.180
0.351,0.177
0.352,0.180
0.353,0.181
0.354,0.181
0.355,0.182
0.356,0.178
0.357,0.179
0.358,0.182
0.359,0.181
0.360,0.182
0.361,0.178
0.362,0.177
0.363,0.179
0.364,0.179
0.365,0.178
0.366,0.179
0.367,0.178
0.368,0.175
0.369,0.178
0.370,0.182
0.371,0.181
0.372,0.180
0.373,0.180
0.374,0.181
0.375,0.178
0.376,0.176
0.377,0.182
0.378,0.183
0.379,0.183
0.380,0.181
0.381,0.180
0.382,0.174
0.383,0.167
0.384,0.173
0.385,0.178
0.386,0.178
0.387,0.177
0.388,0.178
0.389,0.188
0.390,0.194
0.391,0.186
0.392,0.176
0.393,0.168
0.394,0.168
0.395,0.175
0.396,0.178
0.397,0.179
0.398,0.181
0.399,0.181
0.400,0.179
0.401,0.185
0.402,0.186
0.403,0.178
0.404,0.177
0.405,0.176
0.406,0.174
0.407,0.172
0.408,0.173
0.409,0.177
0.410,0.180
0.411,0.178
0.412,0.177
0.413,0.182
0.414,0.182
0.415,0.180
0.416,0.179
0.417,0.183
0.418,0.185
0.419,0.184
0.420,0.187
0.421,0.189
0.422,0.184
0.423,0.182
0.424,0.186
0.425,0.186
0.426,0.183
0.427,0.186
0.428,0.190
0.429,0.188
0.430,0.181
0.431,0.182
0.432,0.192
0.433,0.194
0.434,0.188
0.435,0.186
0.436,0.188
0.437,0.186
0.438,0.188
0.439,0.192
0.440,0.185
0.441,0.183
0.442,0.188
0.443,0.188
0.444,0.190
0.445,0.192
0.446,0.196
0.447,0.197
0.448,0.200
0.449,0.206
0.450,0.207
0.451,0.206
0.452,0.210
0.453,0.221
0.454,0.227
0.455,0.216
0.456,0.211
0.457,0.221
0.458,0.218
0.459,0.219
0.460,0.225
0.461,0.226
0.462,0.223
0.463,0.226
0.464,0.227
0.465,0.217
0.466,0.221
0.467,0.226
0.468,0.224
0.469,0.233
0.470,0.238
0.471,0.235
0.472,0.239
0.473,0.243
0.474,0.238
0.475,0.232
0.476,0.234
0.477,0.236
0.478,0.233
0.479,0.233
0.480,0.236
0.481,0.232
0.482,0.224
0.483,0.232
0.484,0.220
0.485,0.208
0.486,0.223
0.487,0.226
0.488,0.226
0.489,0.226
0.490,0.225
0.491,0.231
0.492,0.231
0.493,0.235
0.494,0.234
0.495,0.221
0.496,0.215
0.497,0.214
0.498,0.214
0.499,0.202
0.500,0.203
0.501,0.211
0.502,0.208
0.503,0.202
0.504,0.199
0.505,0.201
0.506,0.196
0.507,0.200
0.508,0.205
0.509,0.207
0.510,0.209
0.511,0.211
0.512,0.211
0.513,0.206
0.514,0.201
0.515,0.200
0.516,0.202
0.517,0.195
0.518,0.195
0.519,0.191
0.520,0.192
0.521,0.198
0.522,0.193
0.523,0.193
0.524,0.196
0.525,0.198
0.526,0.198
0.527,0.199
0.528,0.200
0.529,0.203
0.530,0.199
0.531,0.194
0.532,0.190
0.533,0.184
0.534,0.181
0.535,0.178
0.536,0.180
0.537,0.180
0.538,0.179
0.539,0.178
0.540,0.174
0.541,0.170
0.542,0.166
0.543,0.164
0.544,0.164
0.545,0.159
0.546,0.159
0.547,0.162
0.548,0.153
0.549,0.155
0.550,0.163
0.551,0.158
0.552,0.159
0.553,0.161
0.554,0.153
0.555,0.149
0.556,0.152
0.557,0.146
0.558,0.150
0.559,0.158
0.560,0.154
0.561,0.154
0.562,0.154
0.563,0.156
0.564,0.153
0.565,0.149
0.566,0.148
0.567,0.142
0.568,0.149
0.569,0.158
0.570,0.145
0.571,0.143
0.572,0.147
0.573,0.143
0.574,0.143
0.575,0.143
0.576,0.143
0.577,0.145
0.578,0.148
0.579,0.144
0.580,0.143
0.581,0.142
0.582,0.141
0.583,0.147
0.584,0.140
0.585,0.136
0.586,0.141
0.587,0.141
0.588,0.145
0.589,0.147
0.590,0.145
0.591,0.147
0.592,0.148
0.593,0.144
0.594,0.145
0.595,0.145
0.596,0.144
0.597,0.148
0.598,0.152
0.599,0.150
0.600,0.149
0.601,0.145
0.602,0.136
0.603,0.129
0.604,0.111
0.605,0.095
0.606,0.083
0.607,0.065
0.608,0.051
0.609,0.045
0.610,0.046
0.611,0.052
0.612,0.064
0.613,0.088
0.614,0.112
0.615,0.129
0.616,0.146
0.617,0.176
0.618,0.211
0.619,0.232
0.620,0.259
0.621,0.302
0.622,0.354
0.623,0.399
0.624,0.459
0.625,0.528
0.626,0.595
0.627,0.666
0.628,0.729
0.629,0.800
0.630,0.870
0.631,0.935
0.632,1.012
0.633,1.069
0.634,1.077
0.635,1.087
0.636,1.100
0.637,1.108
0.638,1.117
0.639,1.089
0.640,1.042
0.641,0.989
0.642,0.918
0.643,0.830
0.644,0.702
0.645,0.549
0.646,0.365
0.647,0.170
0.648,-0.013
0.649,-0.179
0.650,-0.306
0.651,-0.403
0.652,-0.443
0.653,-0.450
0.654,-0.461
0.655,-0.488
0.656,-0.514
0.657,-0.545
0.658,-0.583
0.659,-0.607
0.660,-0.627
0.661,-0.636
0.662,-0.647
0.663,-0.642
0.664,-0.623
0.665,-0.611
0.666,-0.597
0.667,-0.591
0.668,-0.578
0.669,-0.560
0.670,-0.533
0.671,-0.503
0.672,-0.468
0.673,-0.420
0.674,-0.388
0.675,-0.363
0.676,-0.358
0.677,-0.343
0.678,-0.320
0.679,-0.317
0.680,-0.316
0.681,-0.317
0.682,-0.316
0.683,-0.306
0.684,-0.289
0.685,-0.275
0.686,-0.260
0.687,-0.242
0.688,-0.226
0.689,-0.206
0.690,-0.188
0.691,-0.178
0.692,-0.165
0.693,-0.151
0.694,-0.138
